states,Deaths_17_sep,Deaths_7_may_2021,deaths_17_sep_20_pm,deaths_7_may_21_pm,pop_2011,GSDP_per_capita_18to19,Age>60_elderly_india,literacy,urban,GGI_19,below_poverty,slum_percent,expenditure_health,drinking_water_within_premisis,Bathroom_available,Bathing_in_enclosure_without_roof,Closed_drainage,No drainage,unsafe_water_sanitation_handwash_percent_deaths,BCG,POLIO,DPT,Measles,Hepatitis,Varicella and herpes zoster,Acute hepatitis B,Acute hepatitis  E,vit_A,Trichuriasis,leprosy,hookworm,Cystic echinococous,Ascaris,Gout,psoriasis,diabetes melitis type 2,Asthama,IBD,Measles,Rabies,Meningitis,Acute_hep,Dengue,Whooping_cough,Diptheria,UTI,Chlamydia,upper_res,Interstitial lung disease and pulmonary sarcoidosis,child_maternal_nut,hi_bmi_deaths,hi_fas_plasma_glu,hi_sys_bp,Breast  cancer,Brain and central nervous system   cancer,Prostate    cancer,Kidney cancer,Hodgkin lymphoma,Non-Hodgkin lymphoma
Andhra Pradesh,5177,8519,104.4238919,171.8344861,49576777,168083,9.8,67.35,29.47,5.05,9.2,9.77,4.7,43.2,50.6,16.5,21.6,43.1,0.070498501,97.2,72.3,89,89.4,68.8,0.000634844,0.000889255,0.000313609,72.1,0,0.000145462,0.007196525,2.90E-05,0.14437343,0.004186162,0.003465186,0.065085823,0.037079213,0.00020892,2.65E-05,9.11E-08,0.001471851,0.002710665,0.001001348,0.000181405,5.89E-09,0.001403287,0.010217131,0.026686993,0.000666373,0.038167167,0.073014807,0.135593317,0.194057206,0.00071045,3.59E-05,0.000178705,3.60E-05,1.12E-05,3.12E-06
Arunachal Pradesh,13,60,9.394916772,43.36115433,1383727,152716,4.6,66.95,22.94,3.03,34.7,0,5.73,41.1,29,13.6,6,66.9,0.050530055,70.9,53.7,52.3,54.6,40.9,0.000630674,0.001581593,0.000306318,39.4,0.058657601,0.000148391,0.005018591,2.84E-05,0.181115747,0.00402487,0.003715698,0.062382221,0.063863737,0.000214613,0.000103287,2.31E-07,0.001347066,0.004011703,0.000558136,0.000687333,3.90E-08,0.001378356,0.010261525,0.028159775,0.000595522,0.078117642,0.046045129,0.087928667,0.112079202,0.000668254,3.31E-05,0.000204557,3.28E-05,1.24E-05,0
Assam,528,1578,16.92005301,50.56788569,31205576,92533,6.7,73.18,14.1,4.07,32,1.05,7.09,54.8,24.5,17.3,3.6,79.6,0.067709404,82.3,56,66.5,71.4,52,0.000631596,0.001493468,0.000312793,51.3,0.06931667,0.000298517,0.015791605,2.85E-05,0.176699404,0.004061256,0.003696393,0.068017054,0.046865128,0.000190386,7.36E-05,2.93E-07,0.001445396,0.003783687,0.000726623,0.000476759,3.63E-08,0.001329241,0.010329002,0.027611636,0.000616383,0.083832636,0.057414271,0.10388899,0.142096665,0.000675195,3.21E-05,0.000143715,2.92E-05,8.06E-06,8.92E-07
Bihar,855,3139,8.21329972,30.1538571,104099452,44652,7.4,63.82,11.29,4.4,33.7,2,3.94,50.1,11.3,26.2,6.7,57.7,0.124817774,91.6,72.9,80.2,79.4,65.5,0.000630134,0.001013007,0.00031828,62.3,0.091160011,0.000306447,0.043287479,2.82E-05,0.092573474,0.003883731,0.004045028,0.058163157,0.030734871,0.000181927,6.37E-05,1.46E-07,0.001882994,0.003512641,0.000830731,0.000375692,1.44E-08,0.001336427,0.010412831,0.027924491,0.000720878,0.110364902,0.034653766,0.092915322,0.135873202,0.000685071,3.47E-05,0.000162864,2.25E-05,9.65E-06,0
Chhattisgarh,628,10158,24.58387678,397.6481216,25545198,105424,7.8,71.04,11.29,5.05,39.9,2.12,5.28,19,14.8,5.4,5.3,75.8,0.080047683,98.4,81.7,91.4,93.9,76.4,0.00063354,0.001103916,0.000316796,70.2,0.085751027,0.000329772,0.03517807,2.88E-05,0.074144212,0.003828408,0.003636003,0.074180529,0.015304374,0.000190448,3.51E-05,4.79E-07,0.001387736,0.003364015,0.000836662,0.000190637,7.54E-09,0.001372093,0.010285669,0.027408555,0.00058143,0.068293783,0.046414676,0.117282192,0.141825703,0.0006533,3.22E-05,0.000149848,2.93E-05,8.39E-06,0
Delhi,4877,18739,290.5061437,1116.217885,16787941,394216,6.8,86.34,97.5,4.39,9.9,2.86,11.45,78.4,87,4,59.2,4.2,0.026240686,95,77.4,83.7,90.5,59.8,0.000635769,0.000497697,0.000303169,54.2,0.059224133,9.86E-05,0.005041194,2.86E-05,0.067115732,0.0046745,0.003135769,0.072857739,0.023929785,0.000259256,2.51E-05,4.15E-08,0.001178491,0.002491415,0.001286138,0.00027727,6.73E-09,0.001401604,0.00931086,0.027316133,0.000908484,0.047212945,0.098379698,0.143742032,0.164933366,0.001404048,5.15E-05,0.000310117,7.46E-05,2.87E-05,1.19E-05
Goa,327,1557,224.196031,1067.502203,1458545,476370,11.2,87.4,62.17,4.29,5.1,0.04,6.07,79.7,81.4,8.2,43.7,31.2,0.020783914,100,92.9,94.2,96.5,85.2,0.000642055,0.001012879,0.000301569,89.5,0.060812204,7.21E-05,0,2.92E-05,0.054699442,0.004425302,0.002842582,0.078054271,0.015206718,0.000268192,1.59E-05,9.78E-08,0.001094542,0.002702908,0.001269394,0.000114727,3.30E-09,0.001509646,0.010057621,0.026188734,0.000750885,0.015539352,0.12417263,0.204454082,0.229942481,0.001275541,4.68E-05,0.000347914,6.86E-05,1.92E-05,2.10E-05
Gujarat,3273,8154,54.15315485,134.9113427,60439692,222486,7.9,79.31,42.6,5.04,16.6,4.92,5.86,64,56.5,11,37.3,53.3,0.03969019,87.9,62.3,72.7,75,38.6,0.000632119,0.000827473,0.000306192,71.2,0.069961827,0.000149843,0.010943264,2.85E-05,0.070815258,0.003930933,0.003368042,0.065065324,0.018591096,0.00021788,5.75E-05,1.07E-07,0.001429914,0.002902231,0.000931058,0.000383441,1.77E-08,0.001369287,0.010128688,0.027202755,0.000788186,0.052571403,0.078794781,0.125798204,0.168836464,0.001113701,3.69E-05,0.00018786,4.26E-05,1.85E-05,1.06E-07
Haryana,1069,5299,42.16719336,209.0214758,25351462,260287,8.7,76.64,34.88,5,11.2,3.23,3.59,66.5,68.1,14.4,21.1,13.7,0.042055429,92.8,75.3,76.5,79,54.3,0.00063681,0.000809166,0.000308802,66.7,0.006885968,0.000161321,0.008277232,2.86E-05,0.010180393,0.004268553,0.003548941,0.069838293,0.036109051,0.000224795,5.17E-05,1.46E-07,0.001243794,0.002878137,0.000915338,0.000324031,1.20E-08,0.00138716,0.01022908,0.027547151,0.000909809,0.055026228,0.082352791,0.122101809,0.158120365,0.00090873,3.74E-05,0.000182251,4.14E-05,1.23E-05,0
Himachal Pradesh,97,1780,14.13046233,259.3012676,6864602,211325,10.2,83.78,10.03,5.22,8.1,0.1,6.67,55.5,67.5,7.4,24.8,34.8,0.03125764,94.8,82.4,85,87.5,74.1,0.000635645,0.000637874,0.000306516,64.3,0.063441612,0.000125062,0,2.88E-05,0.088767496,0.004073751,0.003518278,0.059332257,0.01830947,0.000234167,2.87E-05,2.65E-07,0.001151093,0.002424992,0.000628105,0.000197515,6.63E-09,0.001428802,0.010150813,0.026632418,0.000844169,0.031454485,0.070787359,0.103332876,0.173491426,0.000697014,4.34E-05,0.000232421,4.71E-05,1.28E-05,1.19E-07
Jammu & Kashmir and Ladakh,951,2612,77.57924687,213.0778053,12258433,110890,7.4,86.61,26.11,4.04,10.3,0.56,5.93,48.2,52.4,8,12.6,52.2,0.028783123,95.6,83.8,88.1,86.2,70.3,0.000636438,0.000634149,0.00030652,64.7,0.064454881,0.000130831,0,2.83E-05,0.122398978,0.004247885,0.003677389,0.060357033,0.017353609,0.000232048,3.13E-05,1.59E-07,0.001498892,0.002698724,0.000458292,0.000185764,6.89E-09,0.001421069,0.010146455,0.027834272,0.000758003,0.047036187,0.072501844,0.112681774,0.154490642,0.000691749,4.09E-05,0.000247652,4.25E-05,1.42E-05,0
Jharkhand,590,3615,17.88521897,109.5848586,32988134,79937,7.1,67.63,24.05,4.23,37,0.68,4.82,23.2,16.5,9,7.2,70.5,0.116674415,95.8,73.8,82.4,82.6,56.4,0.000628607,0.00109002,0.000313979,52.9,0.090172745,0.000275154,0.064018585,2.82E-05,0.133227615,0.003941724,0.00378389,0.061009952,0.01416509,0.000195351,4.86E-05,2.05E-07,0.001526969,0.003338902,0.000772574,0.000283789,7.76E-09,0.001342082,0.010319743,0.027294851,0.000623099,0.082796809,0.035498401,0.092616648,0.12647835,0.000595934,2.88E-05,0.000145829,2.14E-05,7.71E-06,0
Karnataka,7629,17804,124.8704954,291.4135928,61095297,232874,7.7,75.6,38.67,5.1,20.9,4.05,5.03,44.5,74.8,11.5,26.1,39.3,0.046701779,92.5,74.6,77.9,82.4,58.9,0.000633883,0.000839898,0.000311083,78.7,0.009539686,0.000172679,0.002084506,2.88E-05,0.067647121,0.003895446,0.003286219,0.078959285,0.033645672,0.00021119,4.28E-05,7.65E-08,0.001395052,0.002777074,0.000958948,0.000283581,1.13E-08,0.00162782,0.009927316,0.026914408,0.00084864,0.030833537,0.072795204,0.157985988,0.196004271,0.000968485,4.24E-05,0.000183554,4.16E-05,1.41E-05,1.89E-06
